timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1760637383065831161,-45.167923,-21.83342,2.3403168,0.29248047,-0.7753906,1.1787109,-2.1785617,-27.16038,6.803901,0.96988904,-0.23325336,-0.032377295,0.062126797
1760637383076518161,-46.207428,-21.831512,4.049301,0.31445312,-0.7836914,1.1601562,-2.3701777,-27.561466,6.86996,0.968967,-0.23652454,-0.034320094,0.06309644
1760637383087205161,-47.60933,-14.875412,5.6972504,0.34423828,-0.79785156,1.1386719,-2.5396895,-27.973104,6.941346,0.9680106,-0.2398898,-0.03609269,0.064074814
1760637383095179161,-45.719147,-7.4272156,6.795883,0.3154297,-0.8095703,1.0439453,-2.6360755,-28.391315,6.995442,0.9670578,-0.24335185,-0.037215613,0.064760596
1760637383103153161,-42.663574,-1.0185242,7.833481,0.28271484,-0.78027344,0.95800775,-2.6642396,-28.789888,7.089106,0.9661335,-0.24666959,-0.03784057,0.06563594
1760637383111127161,-39.0625,5.5732727,9.298325,0.2758789,-0.7402344,0.8740234,-2.6300159,-29.161795,7.207018,0.965262,-0.24978681,-0.037984688,0.066577315
1760637383119101161,-34.244537,11.432648,10.213852,0.24414062,-0.68359375,0.790039,-2.5275822,-29.49984,7.352818,0.964461,-0.25264713,-0.03760619,0.06759707
1760637383129772161,-31.129837,16.618729,11.739731,0.2084961,-0.65625,0.73876953,-2.4697554,-29.883488,7.4214125,0.96357864,-0.2558887,-0.037461665,0.06806096
1760637383140443161,-26.554108,20.46585,12.838364,0.17285156,-0.5942383,0.68359375,-2.3508863,-30.22866,7.4538016,0.9628151,-0.25885242,-0.03670753,0.06807667
1760637383151114161,-20.874023,22.785187,13.38768,0.16308594,-0.5493164,0.6381836,-2.144831,-30.489176,7.5873103,0.96220356,-0.26112315,-0.035411894,0.06873448
1760637383161873161,-18.49556,24.187088,13.143539,0.09277344,-0.5024414,0.63378906,-1.6038977,-30.82337,7.8469176,0.9614328,-0.2641806,-0.031643294,0.06966766
1760637383172633161,-12.760162,24.066925,12.7773285,0.13378906,-0.49121094,0.60546875,-1.3215094,-30.931068,8.043804,0.9611376,-0.26520464,-0.029788751,0.070661224
1760637383183393161,-9.462357,24.67537,12.289047,0.05859375,-0.4428711,0.57373047,-1.0416598,-31.007807,8.243602,0.9609047,-0.2659718,-0.027948834,0.07168213
1760637383191328161,-3.2367706,21.196365,10.213852,0.03466797,-0.38720703,0.48681638,-0.78806573,-31.057539,8.431054,0.9607308,-0.26650435,-0.026287515,0.072659574
1760637383199262161,-1.9550323,19.548416,8.687973,0.022949222,-0.37353516,0.46582028,-0.5550218,-31.084454,8.601328,0.96061134,-0.26684082,-0.024746496,0.07354139
1760637383207196161,-0.4901886,18.75496,7.2841644,0.0146484375,-0.35205078,0.4521484,-0.33969346,-31.099903,8.747006,0.9605266,-0.2670787,-0.023290562,0.074258685
1760637383215130161,-0.37002563,16.864777,5.941391,-0.0063476525,-0.34960938,0.42773438,-0.14087866,-31.103737,8.816899,0.9605115,-0.26722607,-0.021789469,0.07438041
1760637383225795161,0.17929077,14.240265,4.720688,-0.0078124963,-0.34375,0.41503903,0.030620456,-31.10601,8.870405,0.96050316,-0.26734662,-0.020478237,0.074428484
1760637383236460161,-0.4272461,13.568878,3.3779144,-0.011718746,-0.33251953,0.43017575,0.176998,-31.107084,8.897437,0.9605086,-0.26744595,-0.019315083,0.0743133
1760637383247125161,-1.0414124,13.813019,2.462387,-0.016601559,-0.3330078,0.4208984,0.31488028,-31.114277,9.00537,0.9604443,-0.26757824,-0.018416114,0.074894644
1760637383257780161,-0.9174347,12.163162,1.4858246,-0.03271484,-0.34716797,0.4521484,0.55591303,-31.127064,9.119294,0.96037674,-0.2678259,-0.016670726,0.0752836
1760637383268435161,0.7324219,10.822296,0.9365082,-0.012695309,-0.35009766,0.4628906,0.6552131,-31.117657,9.162923,0.96038413,-0.26780617,-0.01593405,0.075419344
1760637383279090161,2.2563934,11.1866,0.020980835,-0.00537109,-0.3618164,0.47900388,0.7539039,-31.096235,9.224543,0.9604068,-0.2676834,-0.015236155,0.07571031
1760637383289778161,4.9419403,10.515213,-1.9321442,0.0053710975,-0.36816406,0.5722656,0.84187615,-31.064732,9.263113,0.960466,-0.2674726,-0.014567037,0.07583594
1760637383300467161,7.320404,11.066437,-2.9087067,0.0131835975,-0.36376953,0.58154297,0.9237951,-31.015917,9.295384,0.9605682,-0.2671138,-0.013921585,0.075927734
1760637383311156161,9.519577,10.759354,-2.9087067,-0.0043945275,-0.35839844,0.59765625,1.0062461,-30.946808,9.329125,0.9607158,-0.26658535,-0.013260429,0.07603654
1760637383319156161,12.083054,9.5386505,-3.1528473,0.0029296912,-0.36328125,0.5908203,1.1482501,-30.747688,9.266372,0.961232,-0.2650168,-0.011783921,0.07523404
1760637383327158161,13.912201,8.686066,-1.8100739,-0.010742184,-0.3720703,0.5756836,1.2079629,-30.619875,9.246678,0.96154416,-0.26398608,-0.011147681,0.07496583
1760637383335160161,15.806198,5.9986115,-0.16212463,-0.0058593713,-0.35839844,0.5620117,1.2546481,-30.479088,9.267126,0.9618568,-0.2628337,-0.0107037835,0.07506893
1760637383343162161,16.170502,3.9253235,1.5468597,-0.009765621,-0.35009766,0.5566406,1.2932452,-30.336327,9.347568,0.962132,-0.26165378,-0.010462698,0.07569573
1760637383353872161,16.29448,1.909256,3.7441254,0.0009765625,-0.34228516,0.5756836,1.3247045,-30.19286,9.414427,0.9624151,-0.26046446,-0.010248296,0.076225996
1760637383364582161,16.233444,0.020980835,6.1855316,0.017089847,-0.35986328,0.60839844,1.3565573,-30.047237,9.514542,0.96267885,-0.2592543,-0.010102687,0.077036254
1760637383375292161,16.353607,-0.46920776,8.382797,0.042968754,-0.38378906,0.5751953,1.3914988,-29.904638,9.653292,0.96290743,-0.25806832,-0.010018045,0.0781644
1760637383385909161,10.128021,-4.497528,12.411118,0.0703125,-0.39501953,0.64990234,1.4229888,-29.786814,9.828654,0.9630522,-0.25708503,-0.010060003,0.07960192
1760637383396526161,5.9165955,-4.2533875,14.303207,0.10986328,-0.39111328,0.8037109,1.4432559,-29.7013,9.993565,0.9631285,-0.25636637,-0.01019444,0.080968045
1760637383407143161,2.9258728,-4.7416687,16.195297,0.08203125,-0.42871094,0.8808593,1.4230582,-29.624928,10.10683,0.96321535,-0.2557002,-0.010558724,0.08198816
1760637383417796161,2.3784637,-5.048752,19.002914,0.0859375,-0.41992188,0.8945312,1.4073379,-29.511585,10.468226,0.9632007,-0.25470194,-0.011406871,0.085095316
1760637383428452161,2.2563934,-5.048752,20.95604,0.10449219,-0.42138672,0.93212885,1.4030008,-29.438824,10.653189,0.9632217,-0.25406873,-0.01179545,0.08668202
1760637383439108161,3.1719208,-4.8656464,23.09227,0.10986328,-0.4033203,1.0288086,1.4783072,-29.399565,10.899294,0.96312743,-0.25377133,-0.011675611,0.08859605
1760637383447122161,14.095306,0.50735474,26.449203,0.087402344,-0.43701172,1.2197266,1.5821571,-29.319275,11.190102,0.96308607,-0.25314903,-0.011378428,0.0908366
1760637383455137161,22.274017,3.0708313,27.975082,0.071777344,-0.43017578,1.1113281,1.7265229,-29.172277,11.502109,0.96316993,-0.2520003,-0.010725416,0.093190625
1760637383463152161,27.89116,5.449295,28.76854,0.12695312,-0.41259766,1.0004883,1.8921113,-28.951654,11.826594,0.96339464,-0.25025445,-0.009847602,0.09563376
